SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,latitude,longitude,IS SHORT SALE
Past Sale,Condo/Coop,702 San Conrado Ter #1,SUNNYVALE,CA,94085,624900,2,2,SUNNYVALE,1078,2250,1986,2,Garage,,Sold,,,,42243,649900,42268,605000,http://www.redfin.com/CA/Sunnyvale/702-San-Conrado-Ter-94085/unit-1/home/659538,MLSListings Inc. (MLSLI),ML81498869,Intero Real Estate Services,N,Y,37.391934,-122.014523,0
Past Sale,Condo/Coop,437 Costa Mesa Ter Unit C,SUNNYVALE,CA,94085,618000,2,2,SUNNYVALE,1012,1034,1985,2,Garage,,Sold,,,,,618000,42112,675000,http://www.redfin.com/CA/Sunnyvale/437-Costa-Mesa-Ter-94085/unit-C/home/1148433,MLSListings Inc. (MLSLI),ML81459143,Intero Real Estate Services,N,Y,37.391935,-122.045105,0
Past Sale,Townhouse,150 Beverly St,MOUNTAIN VIEW,CA,94043,1095000,3,2.5,MOUNTAIN VIEW,1625,770,1998,2,Garage,,Sold,,,,,1095000,42195,1382000,http://www.redfin.com/CA/Mountain-View/150-Beverly-St-94043/home/626117,MLSListings Inc. (MLSLI),ML81468336,Alain Pinel Realtors,N,Y,37.392013,-122.0610997,0
Past Sale,Single Family Residential,609 Pine Ave,SUNNYVALE,CA,94085,785000,3,2,SUNNYVALE,1168,5131,1953,0,,,Sold,,,,,785000,42187,835000,http://www.redfin.com/CA/Sunnyvale/609-Pine-Ave-94085/home/1058004,MLSListings Inc. (MLSLI),ML81468430,Keller Williams Realty-Silicon Valley,N,Y,37.392108,-122.029086,0
Past Sale,Single Family Residential,632 Borregas Ave,Sunnyvale,CA,94085,,3,2,94085,1442,,1954,,,,,,,,,,42095,450000,http://www.redfin.com/CA/Sunnyvale/632-Borregas-Ave-94085/home/658224,,,,N,Y,37.392119,-122.024186,
Past Sale,Townhouse,321 Eaton Ln,Mountain View,CA,94043,,3,2.5,94043,1625,,1998,,,,,,,,,,42059,1300000,http://www.redfin.com/CA/Mountain-View/321-Eaton-Ln-94043/home/1762968,,,,N,Y,37.392136,-122.0607059,
Past Sale,Single Family Residential,322 W Eaglewood Ave,Sunnyvale,CA,94085,,3,1.5,94085,1132,,1952,,,,,,,,,,42059,760000,http://www.redfin.com/CA/Sunnyvale/322-W-Eaglewood-Ave-94085/home/1589947,,,,N,Y,37.392164,-122.028373,
Past Sale,Condo/Coop,703 San Conrado Ter Unit 1,Sunnyvale,CA,94085,,2,2,94085,1078,,1986,,,,,,,,,,42181,375000,http://www.redfin.com/CA/Sunnyvale/703-San-Conrado-Ter-94085/unit-1/home/659524,,,,N,Y,37.392165,-122.014745,
Past Sale,Townhouse,620 Mariposa Ave Apt 1,Mountain View,CA,94041,,2,2,94041,1278,,1978,,,,,,,,,,42139,855000,http://www.redfin.com/CA/Mountain-View/620-Mariposa-Ave-94041/unit-1/home/722368,,,,N,Y,37.392204,-122.09191,
Past Sale,Condo/Coop,163 Chetwood Dr,MOUNTAIN VIEW,CA,94043,998000,3,2.5,MOUNTAIN VIEW,1390,1742,1998,2,Garage,,Sold,,,,,998000,42349,1200800,http://www.redfin.com/CA/Mountain-View/163-Chetwood-Dr-94043/home/1653730,MLSListings Inc. (MLSLI),ML81521411,Intero Real Estate Services,N,Y,37.3922374,-122.0600028,0
